Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
DDD,3D Systems Corporation,8.24,$961.53M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd
MMM,3M Company,164.71,$94.75B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,9.88,$423M,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,51.33,$7.63B,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wuba
EGHT,8x8 Inc,23.32,$2.32B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght
AHC,A.H. Belo Corporation,3.45,$74.05M,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc
AOS,A.O Smith Corporation,43.65,$7.3B,n/a,Consumer Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/aos
ATEN,"A10 Networks, Inc.",7.09,$536.25M,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/aten
AAC,"AAC Holdings, Inc.",0.75,$18.98M,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac
AIR,AAR Corp.,39.46,$1.37B,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",61.56,$4.16B,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,18.05,$38.5B,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,83.16,$146.98B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,65.23,$96.43B,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,16.81,$1.1B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/anf
AGD,Aberdeen Global Dynamic Dividend Fund,9.24,$115.96M,2006,n/a,n/a,https://www.nasdaq.com/symbol/agd
AWP,Aberdeen Global Premier Properties Fund,6.03,$515.01M,2007,n/a,n/a,https://www.nasdaq.com/symbol/awp
ACP,Aberdeen Income Credit Strategies Fund,12.3,$160.81M,2011,n/a,n/a,https://www.nasdaq.com/symbol/acp
JEQ,"Aberdeen Japan Equity Fund, Inc. ",6.8732,$92.14M,1992,n/a,n/a,https://www.nasdaq.com/symbol/jeq
